app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
ghostsurf,networking,proxy,client-server,4,yes,no,no,yes,no,yes,yes,no,no
optimum-webmail,collaboration,email,browser-based,3,no,no,yes,yes,no,no,no,yes,yes
youseemore,business-systems,general-business,browser-based,1,no,no,no,no,yes,no,no,no,no
socialtext-editing,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,yes,yes,no
phpwiki-editing,collaboration,web-posting,browser-based,2,no,no,no,yes,no,no,yes,no,no
zwiki-editing,collaboration,web-posting,browser-based,2,no,no,no,yes,no,no,yes,no,no
jotspot-editing,collaboration,web-posting,browser-based,2,no,no,no,yes,no,no,yes,no,no
tikiwiki-editing,collaboration,web-posting,browser-based,2,no,no,no,yes,no,no,yes,no,no
etelos-crm,business-systems,erp-crm,browser-based,1,no,no,no,yes,no,no,no,no,no
mediawiki-editing,collaboration,web-posting,browser-based,2,no,no,no,yes,no,no,yes,yes,no
sophos-update,business-systems,software-update,client-server,1,yes,no,no,no,no,no,no,no,no
privax,networking,proxy,browser-based,5,yes,no,yes,yes,no,yes,yes,no,no
xm-radio,media,audio-streaming,browser-based,2,yes,yes,no,no,no,no,no,no,no
whatsup-gold,networking,ip-protocol,network-protocol,2,no,no,no,no,yes,no,yes,yes,no
zoho-writer,business-systems,office-programs,browser-based,2,no,no,no,yes,yes,no,no,no,yes
squirrelmail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
backup-exec,business-systems,storage-backup,client-server,3,no,yes,no,yes,yes,no,no,yes,no
filemaker-pro,business-systems,database,client-server,1,no,no,no,no,no,no,no,yes,no
x-font-server,networking,remote-access,network-protocol,1,no,no,no,no,yes,no,no,no,no
comcast-webmail,collaboration,email,browser-based,3,no,no,yes,yes,no,no,no,yes,yes
zoho-wiki,collaboration,web-posting,browser-based,2,no,no,no,yes,no,no,yes,no,yes
zoho-sheet,business-systems,office-programs,browser-based,2,no,no,no,yes,yes,no,no,no,yes
zoho-show,business-systems,office-programs,browser-based,3,yes,no,no,yes,no,no,no,yes,yes
zoho-notebook,business-systems,office-programs,browser-based,2,no,no,no,yes,yes,no,no,no,no
cox-webmail,collaboration,email,browser-based,3,no,no,yes,yes,no,no,no,yes,yes
rtmpt,media,photo-video,browser-based,4,yes,yes,no,yes,no,yes,no,yes,no
netflow,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
drda,business-systems,database,network-protocol,1,no,no,no,no,no,no,no,no,no
yoics,networking,remote-access,client-server,4,yes,no,no,yes,no,yes,yes,no,no
fs2you,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
ms-ocs,collaboration,instant-messaging,client-server,1,no,no,no,no,no,no,no,yes,no
orkut,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
twig,collaboration,email,client-server,4,no,no,yes,yes,yes,no,no,no,no
ms-ocs-audio,collaboration,voip-video,peer-to-peer,2,yes,yes,no,no,no,no,no,yes,no
ms-ocs-video,collaboration,voip-video,peer-to-peer,2,yes,yes,no,no,no,no,no,yes,no
ms-ocs-file-transfer,general-internet,file-sharing,peer-to-peer,2,no,no,no,yes,no,no,yes,no,no
reuters-data-service,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,yes,no
blogger-blog-posting,collaboration,web-posting,browser-based,3,no,no,no,yes,no,no,no,yes,no
wallcooler-vpn,networking,encrypted-tunnel,client-server,3,yes,no,no,yes,no,yes,no,no,no
packetix-vpn,networking,encrypted-tunnel,client-server,5,yes,no,no,yes,yes,yes,yes,yes,no
lawson-m3,business-systems,erp-crm,client-server,1,no,no,no,yes,no,no,no,no,no
autobahn,general-internet,internet-utility,client-server,1,no,yes,no,no,no,yes,no,no,no
gmail-chat,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,yes
second-life,media,gaming,client-server,4,yes,yes,no,no,yes,no,yes,yes,no
dclink,business-systems,erp-crm,network-protocol,1,no,no,no,no,no,no,no,no,no
h245,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
winny,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,no,no,yes,yes,no
hulu,media,photo-video,browser-based,2,yes,yes,no,no,no,no,no,yes,no
twitter,collaboration,social-networking,browser-based,2,no,no,yes,no,no,no,no,yes,no
ms-sms,business-systems,management,client-server,3,no,no,no,yes,yes,no,no,yes,no
share-p2p,general-internet,file-sharing,peer-to-peer,4,yes,yes,no,yes,no,no,yes,yes,no
filedropper,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
drop.io,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
ilohamail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
traceroute,general-internet,internet-utility,network-protocol,2,no,no,no,no,yes,no,yes,yes,no
google-play,general-internet,internet-utility,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
maxdb,business-systems,database,client-server,2,no,no,no,no,yes,no,no,yes,no
bacnet,business-systems,management,network-protocol,1,no,no,no,no,no,no,no,no,no
horde,collaboration,email,browser-based,5,yes,no,yes,yes,yes,no,no,yes,no
ping,general-internet,internet-utility,network-protocol,2,no,no,no,no,yes,yes,no,yes,no
glype-proxy,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,yes,no
tivoli-storage-manager,business-systems,storage-backup,client-server,3,no,no,no,yes,yes,yes,no,yes,no
perfect-dark,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
rtcp,media,photo-video,client-server,1,no,no,no,no,no,no,no,no,no
wccp,networking,ip-protocol,network-protocol,3,no,no,no,yes,yes,yes,no,no,no
hushmail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
spark-im-file-transfer,collaboration,instant-messaging,peer-to-peer,2,no,no,no,yes,no,yes,no,no,no
desktoptwo,networking,remote-access,browser-based,3,yes,no,no,yes,no,yes,no,yes,no
facebook-mail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
sugar-crm,business-systems,erp-crm,browser-based,2,no,no,no,yes,no,yes,no,no,yes
workday,business-systems,management,browser-based,1,no,no,no,no,yes,no,no,no,yes
gnunet,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,yes,no
kaixin,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
gpass-proxy,networking,proxy,browser-based,4,yes,no,no,yes,yes,yes,yes,no,no
webex-desktop-sharing,collaboration,internet-conferencing,client-server,3,yes,yes,no,no,no,yes,yes,yes,yes
imeem,collaboration,social-networking,browser-based,3,no,yes,no,yes,no,no,yes,yes,no
moinmoin-editing,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
gds-db,business-systems,database,client-server,1,no,no,no,no,yes,no,no,no,no
freegate,networking,proxy,client-server,4,yes,no,no,yes,no,yes,yes,yes,no
myspace-video,media,photo-video,browser-based,1,no,yes,no,no,no,no,no,no,no
blackboard,collaboration,social-business,browser-based,1,no,no,no,yes,no,no,no,no,no
megaproxy,networking,proxy,browser-based,2,yes,no,no,yes,no,no,no,no,no
zenbe,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,yes,no,no
concur,business-systems,general-business,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
epeachtree,business-systems,general-business,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
instan-t-webmessenger,collaboration,instant-messaging,browser-based,3,yes,yes,no,no,yes,no,no,no,no
nimbuzz,collaboration,instant-messaging,client-server,2,no,yes,no,no,yes,no,no,yes,no
tvu,media,photo-video,client-server,3,yes,yes,no,no,no,no,yes,yes,no
instan-t,collaboration,instant-messaging,client-server,3,yes,yes,no,yes,no,no,no,no,no
yourfilehost,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
friendster,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
depositfiles,general-internet,file-sharing,browser-based,3,yes,no,no,yes,no,no,yes,yes,yes
pogo,media,gaming,browser-based,2,yes,yes,no,no,no,no,no,yes,no
mediafire,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,yes
photobucket,media,photo-video,browser-based,3,no,yes,no,yes,no,no,yes,yes,no
modbus,business-systems,management,network-protocol,2,no,no,no,no,yes,yes,no,no,no
dnp3,business-systems,management,network-protocol,1,no,no,no,no,yes,no,no,no,no
iccp,business-systems,management,network-protocol,1,no,no,no,no,yes,no,no,no,no
friendfeed,collaboration,social-networking,browser-based,2,no,no,no,no,yes,no,no,yes,no
informix,business-systems,database,client-server,2,no,no,no,no,yes,no,no,yes,no
bit-internal,general-internet,file-sharing,peer-to-peer,1,no,no,no,no,no,no,no,no,no
editgrid,business-systems,office-programs,browser-based,4,yes,no,no,yes,yes,no,no,yes,no
fluxiom,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,yes,yes
4shared,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,yes
netease-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
xobni,collaboration,social-networking,client-server,2,yes,no,no,no,yes,no,no,no,no
meabox,media,photo-video,peer-to-peer,2,no,yes,no,yes,no,no,no,yes,no
writeboard,business-systems,office-programs,browser-based,3,yes,no,no,no,yes,no,no,yes,no
mail.com,collaboration,email,browser-based,4,no,no,yes,yes,yes,yes,no,yes,yes
google-lively,collaboration,instant-messaging,browser-based,3,yes,yes,no,no,yes,no,no,no,no
totoexpress,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,no,no,no
open-webmail,collaboration,email,browser-based,3,no,no,no,yes,yes,yes,no,yes,yes
coralcdn-user,networking,proxy,browser-based,5,yes,no,no,yes,yes,yes,yes,yes,no
docstoc,general-internet,file-sharing,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
dailymotion,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
zimbra,collaboration,email,browser-based,3,no,no,no,yes,yes,yes,no,yes,yes
plurk,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
airaim,collaboration,instant-messaging,browser-based,2,yes,no,no,no,yes,no,no,no,yes
doof,media,gaming,browser-based,2,no,no,no,no,yes,no,no,yes,no
motleyfool-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,yes,yes,no
ragingbull-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,yes,yes,no
msn-money-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,yes,yes,no
yahoo-finance-posting,collaboration,web-posting,browser-based,1,no,no,no,no,no,no,yes,yes,no
google-finance-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,yes,yes,no
secureserver-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
morningstar-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,yes,yes,no
aol-messageboard-posting,collaboration,web-posting,browser-based,1,no,no,no,no,no,no,yes,yes,no
qq-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,yes,no,yes,yes
limelight,media,photo-video,browser-based,4,no,yes,no,yes,yes,yes,no,yes,no
mobile-me,general-internet,internet-utility,browser-based,4,yes,no,no,yes,yes,yes,no,yes,no
g.ho.st,general-internet,internet-utility,browser-based,4,yes,no,no,yes,yes,yes,no,no,no
glide,networking,remote-access,browser-based,4,yes,no,no,yes,yes,yes,no,no,no
wetpaint-editing,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
wikispaces-editing,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,yes,yes,no
backpack-editing,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,yes,yes,no
msn2go,collaboration,instant-messaging,browser-based,5,yes,no,yes,yes,yes,no,no,yes,no
winamp-remote,media,audio-streaming,browser-based,1,no,yes,no,no,no,no,yes,no,no
tvtonic,media,audio-streaming,client-server,3,yes,yes,no,no,yes,no,no,yes,no
afs,business-systems,storage-backup,client-server,3,no,no,no,yes,yes,no,no,yes,no
zbigz,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,no,yes
pbwiki-editing,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
silverlight,general-internet,internet-utility,browser-based,2,no,yes,no,no,yes,no,no,yes,no
bebo,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
usermin,business-systems,management,browser-based,4,no,no,yes,yes,yes,no,no,no,no
veetle,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,no,no,no
fc2-blog-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,no,yes,no
roundcube,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
bbc-iplayer,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
proxono,networking,proxy,browser-based,5,yes,no,yes,yes,yes,yes,yes,no,no
zango,media,gaming,browser-based,3,no,yes,no,yes,yes,no,no,no,no
yandex-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,yes
mail.ru,collaboration,social-networking,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
stickam,collaboration,voip-video,browser-based,5,yes,yes,yes,yes,yes,no,yes,yes,no
justin.tv,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
sendspace,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,yes
mogulus,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,no,yes,no
ooyala,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,no,no
noteworthy,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
noteworthy-admin,business-systems,management,browser-based,1,no,no,no,no,yes,no,no,no,no
clearspace,collaboration,social-business,browser-based,3,no,no,no,yes,yes,no,no,yes,no
xdcc,general-internet,file-sharing,peer-to-peer,4,yes,yes,no,yes,yes,no,yes,no,no
mcafee-epo-admin,business-systems,management,browser-based,1,no,no,no,no,yes,no,no,no,no
gadu-gadu,collaboration,instant-messaging,client-server,4,yes,no,yes,yes,no,no,no,yes,yes
bit-predict,general-internet,file-sharing,peer-to-peer,1,no,no,no,no,no,no,no,no,no
streamaudio,media,audio-streaming,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
fileswire,general-internet,file-sharing,peer-to-peer,5,yes,yes,yes,yes,yes,no,yes,no,no
pichat,collaboration,instant-messaging,peer-to-peer,4,yes,no,yes,no,yes,no,no,yes,no
livestation,media,audio-streaming,client-server,2,no,yes,no,no,yes,no,no,yes,no
droplr,general-internet,file-sharing,client-server,3,no,no,no,yes,yes,no,no,yes,yes
evernote,business-systems,office-programs,client-server,2,yes,no,no,no,no,yes,no,yes,yes
wixi,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,no,no,no
eklogin,networking,remote-access,network-protocol,2,no,no,no,no,yes,yes,no,no,no
flixster,collaboration,social-networking,browser-based,2,no,no,no,no,yes,no,no,yes,no
jxta,networking,infrastructure,peer-to-peer,4,yes,no,no,yes,yes,yes,no,no,no
classmates,collaboration,social-networking,browser-based,2,no,no,no,yes,no,no,no,yes,no
webconnect,business-systems,general-business,client-server,3,yes,yes,no,no,yes,no,no,no,no
outblaze-mail,collaboration,email,browser-based,4,no,no,yes,yes,yes,no,no,yes,no
bugzilla,business-systems,erp-crm,browser-based,3,no,no,no,yes,yes,no,no,yes,no
idrive,business-systems,storage-backup,network-protocol,2,no,no,no,yes,no,no,no,yes,yes
adobe-update,business-systems,software-update,client-server,2,no,no,no,yes,no,no,no,yes,no
reduh,networking,encrypted-tunnel,client-server,4,yes,no,no,yes,yes,no,yes,no,no
gbridge,networking,encrypted-tunnel,client-server,5,yes,no,no,yes,yes,yes,yes,yes,no
yuuguu,collaboration,internet-conferencing,client-server,2,yes,yes,no,no,no,yes,no,no,yes
flumotion,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
diino,general-internet,file-sharing,client-server,4,yes,no,no,yes,yes,no,yes,no,yes
niconico-douga,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
asf-streaming,media,photo-video,browser-based,5,no,yes,yes,yes,yes,yes,no,yes,no
freeetv,media,photo-video,browser-based,3,yes,yes,no,no,no,no,yes,yes,no
ovation,business-systems,general-business,client-server,1,no,no,no,no,no,yes,no,no,no
ameba-blog-posting,collaboration,web-posting,browser-based,2,no,no,no,no,yes,no,no,yes,no
phweet,collaboration,instant-messaging,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
smb,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
hinet-webmail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
daap,media,audio-streaming,client-server,4,yes,yes,no,no,yes,no,yes,yes,no
yahoo-douga,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
techinline,networking,remote-access,browser-based,4,yes,yes,no,no,yes,yes,yes,yes,yes
yahoo-blog-posting,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
brightcove,media,photo-video,browser-based,5,no,yes,yes,yes,yes,no,yes,yes,no
cddb,media,photo-video,client-server,1,no,no,no,no,no,no,no,yes,no
tidaltv,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
zoho-planner,business-systems,office-programs,browser-based,2,no,no,no,yes,yes,no,no,no,yes
zoho-crm,business-systems,erp-crm,browser-based,2,no,no,no,yes,yes,no,no,no,yes
zoho-people,business-systems,erp-crm,browser-based,1,no,no,no,no,yes,no,no,no,yes
firephoenix,networking,encrypted-tunnel,client-server,5,yes,no,yes,yes,no,yes,yes,yes,no
zoho-meeting,collaboration,internet-conferencing,browser-based,2,yes,no,no,no,yes,no,no,no,yes
zoho-share,business-systems,office-programs,browser-based,3,yes,no,no,yes,yes,no,no,no,yes
zoho-db,business-systems,database,browser-based,1,no,no,no,no,yes,no,no,no,yes
tagoo,media,audio-streaming,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
tvb-video,media,photo-video,browser-based,2,no,yes,no,no,yes,no,no,yes,no
browse007,collaboration,encrypted-tunnel,browser-based,4,yes,no,no,yes,yes,no,no,yes,no
free-napster,media,audio-streaming,browser-based,4,yes,yes,yes,no,yes,yes,no,no,no
flickr,media,photo-video,browser-based,3,no,no,no,yes,yes,no,no,yes,no
camo-proxy,networking,proxy,browser-based,4,yes,no,no,yes,yes,yes,yes,no,no
psiphon,networking,proxy,browser-based,5,yes,no,no,yes,yes,yes,yes,yes,no
bebo-mail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,no
gpass,networking,encrypted-tunnel,client-server,4,yes,no,no,yes,no,yes,yes,yes,no
pandlp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
secure-access-sync,networking,infrastructure,network-protocol,1,no,no,no,yes,no,no,no,no,no
instan-t-file-transfer,general-internet,file-sharing,client-server,4,yes,no,yes,yes,no,no,no,yes,no
git,business-systems,general-business,client-server,3,no,no,no,yes,yes,yes,no,no,no
netsuite,business-systems,erp-crm,browser-based,1,no,no,no,no,no,no,no,yes,yes
nintendo-wfc,media,gaming,client-server,4,yes,yes,no,no,yes,yes,no,yes,no
timbuktu,collaboration,internet-conferencing,client-server,4,yes,yes,no,yes,yes,yes,no,yes,no
wiiconnect24,media,gaming,client-server,2,yes,no,no,no,no,yes,no,yes,no
ibm-director,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
gtalk-p2p,collaboration,voip-video,peer-to-peer,5,yes,yes,yes,no,yes,yes,no,yes,no
libero-video,media,photo-video,browser-based,5,yes,yes,yes,yes,yes,no,yes,yes,no
peerguardian,networking,infrastructure,client-server,2,no,no,no,no,yes,yes,no,no,no
google-talk-gadget,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,no
earthcam,media,photo-video,browser-based,2,no,yes,no,no,yes,no,no,yes,no
zoho-mail,collaboration,email,browser-based,3,no,no,no,yes,yes,no,no,yes,yes
gamespy,media,gaming,client-server,2,yes,no,no,no,no,no,no,yes,no
plaxo,collaboration,social-networking,browser-based,4,yes,no,no,yes,yes,no,no,yes,no
mixi,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
octoshape,media,audio-streaming,peer-to-peer,2,yes,yes,no,no,no,no,no,yes,no
acronis-snapdeploy,business-systems,management,client-server,2,no,no,no,yes,yes,no,no,no,no
web20_parrent_app,networking,ip-protocol,browser-based,1,no,no,no,no,no,yes,no,no,no
ms-exchange-mrs,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
sharefile,general-internet,file-sharing,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
tuenti,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
deezer,media,audio-streaming,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
rpc-over-http,networking,infrastructure,network-protocol,3,yes,no,no,no,yes,yes,no,yes,no
jango,media,audio-streaming,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
graboid-video,media,photo-video,client-server,4,yes,yes,no,yes,yes,no,yes,no,no
imo,collaboration,instant-messaging,browser-based,4,yes,no,no,yes,yes,no,no,yes,yes
playstation-network,media,gaming,client-server,3,yes,yes,no,no,no,yes,no,yes,no
google-video,media,photo-video,browser-based,3,no,yes,no,no,yes,yes,no,yes,no
megavideo,media,photo-video,browser-based,3,yes,yes,no,no,yes,no,no,yes,no
kontiki,media,photo-video,peer-to-peer,3,no,yes,no,no,yes,yes,no,yes,no
dropbox,general-internet,file-sharing,client-server,4,yes,no,no,yes,yes,yes,no,yes,no
ping-tunnel,networking,encrypted-tunnel,client-server,4,yes,no,no,yes,no,yes,yes,no,no
hotspot-shield,networking,encrypted-tunnel,client-server,3,yes,no,no,yes,no,yes,no,yes,no
irods,business-systems,management,client-server,2,no,no,no,no,yes,no,no,yes,no
hosproxy,networking,proxy,client-server,1,no,no,no,no,no,no,no,no,no
filestube,general-internet,file-sharing,browser-based,3,no,yes,no,yes,yes,no,no,yes,no
vbulletin-posting,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,no,yes,no
lokalisten,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
youku,media,photo-video,browser-based,5,yes,yes,yes,yes,yes,yes,yes,yes,no
fotki,media,photo-video,browser-based,3,no,no,no,yes,yes,no,no,yes,no
asterisk-iax,collaboration,voip-video,peer-to-peer,2,no,no,no,no,yes,no,no,yes,no
schmedley,collaboration,social-networking,browser-based,3,yes,no,no,no,yes,yes,no,yes,no
fortiguard-webfilter,networking,infrastructure,network-protocol,2,yes,no,no,no,yes,no,no,no,no
hangame,media,gaming,browser-based,4,no,yes,no,yes,yes,yes,no,yes,no
kino,media,photo-video,browser-based,5,yes,yes,yes,yes,yes,no,no,yes,no
xing,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,no,no,yes,no
qvod,media,photo-video,peer-to-peer,4,yes,yes,no,yes,yes,no,yes,yes,no
groupmax,business-systems,general-business,client-server,3,no,no,no,yes,yes,yes,no,no,no
office-live,general-internet,file-sharing,client-server,4,yes,no,no,yes,yes,yes,no,yes,yes
babylon,business-systems,office-programs,client-server,1,yes,no,no,no,no,no,no,no,no
tcp-over-dns,networking,encrypted-tunnel,client-server,4,yes,no,no,yes,no,yes,yes,no,no
skydrive,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,yes
feidian,media,photo-video,peer-to-peer,5,yes,yes,yes,yes,no,no,yes,yes,no
gnutella-internal,general-internet,file-sharing,client-server,1,no,no,no,no,no,no,no,no,no
spotify,media,audio-streaming,client-server,3,yes,yes,no,no,yes,no,no,yes,no
simplify,media,audio-streaming,peer-to-peer,3,yes,yes,no,no,no,yes,no,yes,no
ip-messenger,collaboration,instant-messaging,peer-to-peer,1,no,no,no,yes,no,no,no,no,no
ip-messenger-file-transfer,general-internet,file-sharing,peer-to-peer,1,no,no,no,yes,no,no,no,no,no
skydrive-uploading,general-internet,file-sharing,client-server,4,yes,no,no,yes,yes,no,no,yes,yes
hyves,collaboration,social-networking,browser-based,3,no,no,no,yes,yes,yes,no,yes,no
bluecoat-auth-agent,business-systems,auth-service,client-server,3,yes,no,no,no,yes,yes,no,no,no
rediffbol,collaboration,instant-messaging,client-server,3,yes,no,no,no,yes,no,no,yes,no
qqlive,media,photo-video,peer-to-peer,4,yes,yes,no,yes,no,no,yes,yes,no
yourminis,general-internet,internet-utility,browser-based,3,yes,no,no,no,yes,yes,no,no,no
computrace,business-systems,general-business,client-server,3,yes,no,no,no,yes,no,no,yes,no
track-it,business-systems,management,client-server,2,no,no,no,yes,yes,no,no,no,no
simple-im,collaboration,instant-messaging,client-server,1,no,no,no,no,no,no,no,no,no
rediffbol-file-transfer,general-internet,file-sharing,client-server,5,yes,yes,yes,yes,yes,no,yes,no,no
hitachi-spc,business-systems,general-business,client-server,1,no,no,no,no,no,no,no,no,no
rediffbol-audio-video,collaboration,instant-messaging,client-server,2,yes,yes,no,no,no,no,no,yes,no
h.225,collaboration,voip-video,client-server,2,no,no,no,no,yes,no,no,yes,no
tudou,media,photo-video,browser-based,5,yes,yes,yes,yes,yes,no,yes,yes,no
trippy,collaboration,social-networking,browser-based,2,no,no,no,yes,yes,no,no,no,no
h225,media,audio-streaming,browser-based,1,no,no,no,no,no,no,no,no,no
symantec-av-update,business-systems,software-update,client-server,3,yes,no,no,no,yes,no,no,yes,no
gmail-drive,general-internet,file-sharing,client-server,3,yes,no,no,yes,yes,no,no,no,yes
pandora-tv,media,audio-streaming,browser-based,4,yes,yes,no,no,yes,yes,no,yes,yes
esignal,business-systems,general-business,client-server,1,no,no,no,no,yes,no,no,no,no
softros-messenger,collaboration,instant-messaging,peer-to-peer,1,no,no,no,no,no,no,no,no,no
genesys,collaboration,internet-conferencing,client-server,4,yes,yes,no,no,yes,yes,no,yes,no
garena,media,gaming,client-server,1,no,yes,no,no,no,no,no,yes,no
yammer,collaboration,social-networking,client-server,3,yes,no,no,yes,yes,no,no,no,yes
gyao,media,photo-video,browser-based,4,yes,yes,no,yes,yes,no,no,yes,no
gotodevice,networking,remote-access,client-server,3,yes,yes,no,yes,no,yes,no,no,no
rhapsody,media,audio-streaming,client-server,3,yes,yes,no,no,yes,no,no,yes,no
dimdim,collaboration,internet-conferencing,browser-based,3,yes,yes,no,no,yes,yes,no,no,yes
panos-web-interface,business-systems,management,browser-based,1,no,no,no,no,no,yes,no,no,no
dontcensorme,networking,proxy,browser-based,4,yes,no,no,yes,yes,yes,yes,no,no
netop-on-demand,collaboration,internet-conferencing,browser-based,3,yes,yes,no,yes,no,yes,no,no,no
softros-messenger-file-transfer,general-internet,file-sharing,peer-to-peer,1,no,no,no,yes,no,no,no,no,no
softros-messenger-internal,business-systems,audio-streaming,client-server,1,no,no,no,no,no,no,no,no,no
ariel,business-systems,office-programs,client-server,2,no,no,no,yes,no,no,yes,no,no
seesmic,collaboration,voip-video,browser-based,3,yes,no,no,yes,yes,no,no,no,no
laconica,collaboration,instant-messaging,browser-based,4,yes,no,no,yes,yes,yes,no,yes,no
webqq,collaboration,instant-messaging,browser-based,3,yes,no,no,no,yes,no,no,yes,yes
magicjack,collaboration,voip-video,client-server,3,no,yes,yes,no,yes,no,no,yes,no
qqmusic,media,audio-streaming,client-server,3,yes,yes,no,yes,no,no,no,yes,no
