app,CATEGORY,SUBCATEGORY,TECHNOLOGY,RISK,EVASIVE,EXCESSIVE_BANDWIDTH,USED_BY_MALWARE,ABLE TO TRANSFER FILE,HAS KNOWN VULNERABILITY,TUNNELS OTHER APPLICATION,PRONE TO MISUSE,PERVASIVE_USE,SAAS
yahoo-file-transfer,general-internet,file-sharing,peer-to-peer,5,yes,no,yes,yes,yes,no,no,yes,yes
secure-access,networking,encrypted-tunnel,browser-based,4,yes,no,no,yes,no,yes,yes,no,no
aim-file-transfer,general-internet,file-sharing,peer-to-peer,4,no,no,yes,yes,yes,no,no,yes,yes
rsync,business-systems,storage-backup,client-server,3,no,yes,no,yes,yes,no,no,yes,no
msn-file-transfer,general-internet,file-sharing,peer-to-peer,5,yes,no,yes,yes,yes,no,no,yes,no
ftp,general-internet,file-sharing,client-server,5,no,yes,yes,yes,yes,yes,yes,yes,no
h.245,collaboration,voip-video,client-server,3,no,yes,yes,no,yes,no,no,yes,no
gtalk-file-transfer,general-internet,file-sharing,peer-to-peer,5,yes,no,yes,yes,yes,yes,no,yes,no
relp,business-systems,management,client-server,1,no,no,no,no,no,no,no,no,no
webdav,general-internet,file-sharing,browser-based,5,no,no,yes,yes,yes,yes,yes,yes,no
wikidot-editing,collaboration,web-posting,browser-based,3,no,no,no,yes,yes,no,yes,yes,no
jubii,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,no,no,yes,yes,no
lwapp,networking,infrastructure,network-protocol,1,no,no,no,no,no,yes,no,yes,no
tftp,general-internet,file-sharing,client-server,4,no,no,yes,yes,yes,no,no,yes,no
ms-scheduler,business-systems,management,client-server,2,no,no,no,no,yes,no,yes,no,no
portmapper,networking,infrastructure,network-protocol,3,no,no,yes,no,yes,no,no,yes,no
nfs,business-systems,storage-backup,client-server,3,no,no,no,yes,yes,no,no,yes,no
eatlime,general-internet,file-sharing,browser-based,4,yes,yes,no,yes,yes,no,yes,yes,no
hopopt,networking,routing,network-protocol,1,no,no,no,no,no,no,no,yes,no
netbios-ns,networking,infrastructure,network-protocol,2,no,no,no,no,yes,yes,no,yes,no
igmp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,yes,no
ggp,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
ip-in-ip,networking,ip-protocol,network-protocol,1,no,no,no,no,no,yes,no,yes,no
st,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
cbt,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
egp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
igp,networking,routing,network-protocol,1,no,no,no,no,no,no,no,no,no
bbn-rcc-mon,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
nvp-ii,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
pup,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
netbios-ss,networking,infrastructure,network-protocol,2,no,no,no,no,yes,yes,no,yes,no
argus,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
emcon,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
xnet,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
chaos,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
mux,networking,ip-protocol,network-protocol,1,no,no,no,no,no,no,no,no,no
