app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
allpeers,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/443"
alpemix,networking,"remote-access","client-server",2,no,no,no,yes,no,yes,no,yes,no,"tcp/dynamic|udp/dynamic"
altiris,"business-systems",management,"client-server",1,no,no,no,no,no,no,no,no,no,"tcp/402"
"amazon-aws-console","business-systems",management,"browser-based",1,no,no,no,no,no,no,no,yes,no,"tcp/443,80"
"amazon-cloud-drive-base","general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,no,no,yes,"tcp/443,80"
"amazon-cloud-drive-uploading","general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,no,no,yes,"tcp/80,443"
"amazon-cloud-player",media,"audio-streaming","browser-based",3,no,yes,no,yes,yes,no,no,no,no,"tcp/443,80"
"amazon-instant-video",media,"photo-video","browser-based",3,yes,yes,no,no,yes,no,no,yes,no,"tcp/80,443"
"amazon-unbox",media,"photo-video","client-server",4,yes,yes,no,yes,yes,no,no,yes,no,"tcp/80"
"ameba-blog-posting",collaboration,"web-posting","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80"
"ameba-now-base",collaboration,"social-networking","browser-based",4,yes,no,yes,no,yes,no,no,yes,no,"tcp/80"
"ameba-now-posting",collaboration,"social-networking","browser-based",4,yes,no,yes,no,yes,no,no,yes,no,"tcp/80"
"ammyy-admin",networking,"remote-access","client-server",3,yes,no,no,yes,no,yes,no,no,yes,"tcp/80,443"
amqp,"business-systems","general-business","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/5671,5672"
"android-market","general-internet","internet-utility","client-server",2,no,no,no,yes,no,no,no,yes,no,"tcp/80,443"
"ants-p2p","general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"tcp/443,80,6667|udp/dynamic"
"any-0hop-protocol",networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
anydesk,networking,"remote-access","client-server",1,no,no,no,no,no,no,no,no,no,"tcp/80,443,7070"
"aol-messageboard-posting",collaboration,"web-posting","browser-based","[u'1', u'1']",no,no,no,no,no,no,yes,yes,no,"tcp/80"
"aol-proxy",networking,proxy,"client-server",4,yes,no,no,yes,yes,yes,yes,no,no,"tcp/80,5192,5190"
"apache-jserv","general-internet","internet-utility","client-server",2,no,no,no,no,yes,no,no,yes,no,"tcp/8009"
"apache-solr","business-systems",management,"client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/80,443,8983,8984,7574"
"apache-zookeeper","business-systems",management,"client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/2181,3181,4181"
"apc-powerchute","business-systems","general-business","client-server",2,no,no,no,no,yes,no,yes,no,no,"tcp/2260|udp/3052"
appcelerator,"business-systems","software-development","client-server",4,no,no,yes,yes,yes,no,no,no,yes,"tcp/443"
appguru,"business-systems",management,"browser-based",1,no,no,no,no,no,no,no,no,no,"tcp/443"
"apple-airplay",media,"photo-video","client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/80,5000,7100|udp/7010,7011"
"apple-airport",networking,infrastructure,"network-protocol",2,no,no,no,no,yes,no,no,yes,no,"udp/192"
"apple-appstore","general-internet","internet-utility","client-server",4,yes,no,no,yes,yes,no,no,yes,no,"tcp/80,443,dynamic"
"apple-game-center",media,gaming,"client-server",1,no,no,no,no,yes,no,no,no,no,"tcp/443"
"apple-location-service","general-internet","internet-utility","browser-based",2,no,no,no,no,yes,no,yes,yes,no,"tcp/80"
"apple-maps","general-internet","internet-utility","client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/80,443"
"apple-push-notifications","general-internet","internet-utility","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/2195,2196,5223,443"
"apple-remote-desktop",networking,"remote-access","client-server",3,no,no,no,yes,yes,yes,no,yes,no,"tcp/5900,3283|udp/3283"
"apple-update","business-systems","software-update","client-server",3,yes,yes,no,yes,no,no,no,yes,no,"tcp/80"
"apple-vpp","business-systems","general-business","browser-based",1,no,no,no,no,no,no,no,yes,no,"tcp/443"
applejuice,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,no,yes,yes,no,"udp/9022,9851|tcp/9022,9851"
"apt-get","business-systems",management,"client-server",1,no,yes,no,no,no,no,no,yes,no,"tcp/80"
arcgis,"business-systems","general-business","browser-based",2,no,no,no,no,yes,no,no,yes,no,"tcp/80,6080,8399"
arcserve,networking,infrastructure,"client-server",3,no,yes,no,yes,yes,no,no,no,no,"tcp/6050,445,139,111|udp/6050"
ares,"general-internet","file-sharing","peer-to-peer",5,yes,yes,yes,yes,yes,yes,yes,yes,no,"tcp/dynamic|udp/dynamic"
argus,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
ariel,"business-systems","office-programs","client-server",2,no,no,no,yes,no,no,yes,no,no,"tcp/25,80"
aris,networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
